folder	movie	root_subtitle_count	subdir_move_count	note
/Volumes/导演们/斯坦利·库布里克/闪灵/《制作闪灵》---薇薇安·库布里克同步拍摄的《闪灵》纪录片	/Volumes/导演们/斯坦利·库布里克/闪灵/《制作闪灵》---薇薇安·库布里克同步拍摄的《闪灵》纪录片/闪灵.The.Shining.1980.REMASTERED.UE.Wi.mkv	1	0	
/Volumes/导演们/斯坦利·库布里克/发条橙/制造“发条橙”大杂烩！	/Volumes/导演们/斯坦利·库布里克/发条橙/制造“发条橙”大杂烩！/Making.A.Clockwork.Orange.mkv	1	0	paired sidecar: Making A Clockwork Orange.sub
/Volumes/导演们/斯坦利·库布里克/发条橙/发条橙的回归	/Volumes/导演们/斯坦利·库布里克/发条橙/发条橙的回归/The.Return.of.A.Clockwork.Orange.mkv	1	0	paired sidecar: The Return of A Clockwork Orange.sub
/Volumes/导演们/熊切和嘉/揮発性の女	/Volumes/导演们/熊切和嘉/揮発性の女/揮発性女.Volatile.Woman.2004.DVDRip.XviD-LiiO.mkv	1	0	paired sidecar: 揮発性女.Volatile.Woman.2004.DVDRip.XviD-LiiO.sub
/Volumes/导演们/亚历山大·索科洛夫/卑微的人生	/Volumes/导演们/亚历山大·索科洛夫/卑微的人生/卑微的人生.A.Humble.Life.1997.avi	1	0	paired sidecar: a humble life.sub
/Volumes/导演们/沟口建二/新平家物语	/Volumes/导演们/沟口建二/新平家物语/新平家物语.Shin.heike.monogatari.1955.DVDRip.XviD.Jap.mp4	1	0	paired sidecar: 新平家物语.Shin.heike.monogatari.1955.DVDRip.XviD.Jap.chs.sub
/Volumes/导演们/沟口建二/歌麿和他的五个女人	/Volumes/导演们/沟口建二/歌麿和他的五个女人/歌麿和他的五个女人.Utamaro.o.meguru.gonin.no.onna.1946.mkv	2	0	paired sidecar: 歌麿和他的五个女人.chs.sub; paired sidecar: 歌麿和他的五个女人.sub
/Volumes/导演们/沟口建二/阿游小姐	/Volumes/导演们/沟口建二/阿游小姐/阿游小姐.Oyu-sama.1951.mkv	1	0	paired sidecar: 阿游小姐.chs.sub
/Volumes/导演们/卡尔·卡切纳/监听	/Volumes/导演们/卡尔·卡切纳/监听/监听.Ucho.1970.mkv	1	0	paired sidecar: wrd-theear.sub
/Volumes/导演们/卡尔·西奥多·德莱叶/房屋的主人	/Volumes/导演们/卡尔·西奥多·德莱叶/房屋的主人/房屋的主人.Master.Of.The.House.1925.DVDRip.XviD-MOC.mp4	0	2	
/Volumes/导演们/卡尔·西奥多·德莱叶/麦克尔	/Volumes/导演们/卡尔·西奥多·德莱叶/麦克尔/麦克尔.Michael.(Chained).1924.Carl.Theodor.Dreyer.mp4	1	0	paired sidecar: 麦克尔.Michael.(Chained).1924.Carl.Theodor.Dreyer.sub
/Volumes/导演们/卡尔·西奥多·德莱叶/短片/好妈妈	/Volumes/导演们/卡尔·西奥多·德莱叶/短片/好妈妈/好妈妈.Good.Mothers.1942.DVDRip.mkv	1	0	paired sidecar: 好妈妈.Good.Mothers.1942.DVDRip.sub
/Volumes/导演们/三池崇史/极道黑社会	/Volumes/导演们/三池崇史/极道黑社会/极道黑社会.Rainy.Dog.1997.DVDrip.XviD-H2O.mkv	1	0	paired sidecar: [极道黑社会].Rainy.Dog.1997.DVDrip.XviD-H2O.sub
/Volumes/导演们/三池崇史/生存还是毁灭	/Volumes/导演们/三池崇史/生存还是毁灭/生存还是毁灭.Dead.or.Alive.1.Hanzaisha.1999.DVDRip.XviD-NM.mp4	1	0	paired sidecar: 生存还是毁灭.Dead.or.Alive.1.Hanzaisha.1999.DVDRip.XviD-NM.sub
/Volumes/导演们/安东尼奥尼/扎布里斯基角	/Volumes/导演们/安东尼奥尼/扎布里斯基角/扎布里斯基角.Zabriskie.Point.1970.dvdrip.mp4	1	0	paired sidecar: [扎布里斯基角].Zabriskie.Point.1970.dvdrip.sub
/Volumes/导演们/普雷斯顿·斯塔奇斯/淑女伊芙	/Volumes/导演们/普雷斯顿·斯塔奇斯/淑女伊芙/淑女伊芙.The.Lady.Eve.1941.DVDRip.Divx.5.11.MP3-Wolfman.mkv	1	0	paired sidecar: The.Lady.Eve.1941.DVDRip.Divx.5.11.MP3-Wolfman.sub
/Volumes/导演们/亚历桑德罗·佐杜洛夫斯基/鼹鼠	/Volumes/导演们/亚历桑德罗·佐杜洛夫斯基/鼹鼠/El Topo.avi	9	0	
/Volumes/导演们/原一男/前进，神军！	/Volumes/导演们/原一男/前进，神军！/前进.神军.ゆきゆきて.神軍.1987.mkv	1	0	paired sidecar: 祭軍魂.sub
/Volumes/导演们/奥塔·埃索里亚尼/我不想回家	/Volumes/导演们/奥塔·埃索里亚尼/我不想回家/我不想回家.Otar.Iosseliani.-.Adieu.Plancher.des.Vaches.(In.vino.vertas).1999.arbitr.avi	1	0	paired sidecar: 我不想回家.Otar.Iosseliani.-.Adieu.Plancher.des.Vaches.(In.vino.vertas).1999.arbitr.sub
