folder	reason	detail
/Volumes/导演们/路易斯·布努埃尔/银河	single movie folder without root subtitles but has extras/other files	subdirs=0 other_files=2
/Volumes/导演们/罗伯特·奥尔特曼	not a single movie folder	movies=7 subtitles=0 subdirs=11 other_files=2
/Volumes/导演们/罗伯特·奥尔特曼/云裳风暴	not a single movie folder	movies=0 subtitles=0 subdirs=0 other_files=2
/Volumes/导演们/罗伯特·奥尔特曼/像我们一样的强盗	single movie folder without root subtitles but has extras/other files	subdirs=0 other_files=2
/Volumes/导演们/罗伯特·奥尔特曼/大玩家	not a single movie folder	movies=0 subtitles=0 subdirs=0 other_files=2
/Volumes/导演们/罗伯特·奥尔特曼/漫长的告别	single movie folder without root subtitles but has extras/other files	subdirs=0 other_files=2
/Volumes/导演们/罗伯特·奥尔特曼/秘密的荣耀	single movie folder without root subtitles but has extras/other files	subdirs=0 other_files=2
/Volumes/导演们/罗伯特·奥尔特曼/芭蕾人生	not a single movie folder	movies=0 subtitles=0 subdirs=0 other_files=2
/Volumes/导演们/罗伯托·贝尼尼	not a single movie folder	movies=0 subtitles=0 subdirs=0 other_files=2
/Volumes/导演们/马基德·马基迪	not a single movie folder	movies=4 subtitles=0 subdirs=2 other_files=1
/Volumes/导演们/马克斯·奥菲尔斯	not a single movie folder	movies=5 subtitles=0 subdirs=8 other_files=0
/Volumes/导演们/马克斯·奥菲尔斯/伯爵夫人的耳环	single movie folder without root subtitles but has extras/other files	subdirs=0 other_files=2
/Volumes/导演们/马克斯·奥菲尔斯/莱贝雷	single movie folder without root subtitles but has extras/other files	subdirs=0 other_files=1
/Volumes/导演们/米洛斯·福尔曼	not a single movie folder	movies=5 subtitles=0 subdirs=4 other_files=0
/Volumes/导演们/米洛斯·福尔曼/消防员舞会	subdir is not subtitle-only or feature-like	/Volumes/导演们/米洛斯·福尔曼/消防员舞会/字幕 subtitles=0 movies=0 others=2 nested_dirs=0
/Volumes/导演们/米洛斯·福尔曼/消防员舞会	single movie folder without root subtitles but has extras/other files	subdirs=1 other_files=0
/Volumes/导演们/米洛斯·福尔曼/消防员舞会/字幕	not a single movie folder	movies=0 subtitles=0 subdirs=0 other_files=2
